"","logFC","AveExpr","t","P.Value","adj.P.Val","B","BH"
"ENSG00000260369",-0.0364342825013146,5.25303044914639,-0.316918649651309,0.762114611876493,0.827031244211098,-7.68568037821235,0.827031244211098
"SEMA3F-AS1",-0.0521341275284044,5.75745219242408,-0.316874040179718,0.762146820723759,0.827031244211098,-7.68569658317388,0.827031244211098
"ZNF189",0.0423097284723895,9.81488380057754,0.316798195998803,0.762201582797657,0.827046329870664,-7.685724129481,0.827046329870664
"TMEM184A",-0.0553080165954078,8.94172434871352,-0.316641074876482,0.762315034390642,0.827116643152625,-7.6857811749686,0.827116643152625
"ZACN",0.259768132686493,6.2911949582821,0.316595269559145,0.762348110007182,0.827116643152625,-7.68579780021474,0.827116643152625
"ENSG00000197550",0.0586854506300512,5.27977582232574,0.316384415816801,0.762500372742451,0.827237500384839,-7.68587430053864,0.827237500384839
"VPS51",-0.0679740634080144,11.283851249247,-0.316327411647176,0.762541538875778,0.827237822295242,-7.6858949738884,0.827237822295242
"ALDH4A1",-0.0455088693601073,10.4302748700174,-0.316225429107439,0.762615188717545,0.827255373167394,-7.68593195027941,0.827255373167394
"ENSG00000286782",0.118120969020618,5.04847815546818,0.316191824805609,0.762639457699895,0.827255373167394,-7.68594413185749,0.827255373167394
"RPUSD1",0.0763353374251086,9.33857147127948,0.315651250878818,0.763029900159997,0.827617074573654,-7.68613991816669,0.827617074573654
"LINC00861",-0.0550526957354478,7.36620244158384,-0.315569871232704,0.763088685188201,0.827617074573654,-7.68616936437795,0.827617074573654
"MYO1F",-0.0507343966264688,6.13641157117364,-0.315525397411616,0.763120811826576,0.827617074573654,-7.68618545357331,0.827617074573654
"ARNT",0.0362583600252737,10.0550093834364,0.315503735938724,0.763136459653311,0.827617074573654,-7.68619328920202,0.827617074573654
"NRBP1",0.0300564853708387,11.7387901049904,0.315081270138546,0.763441665281816,0.827903709990315,-7.68634600420666,0.827903709990315
"KLHL18",-0.0383715768994026,10.1602463627871,-0.314970063154299,0.763522013268686,0.827946484012186,-7.68638617094746,0.827946484012186
"ENSG00000264666",0.0688489192309651,5.69771214691951,0.314814721177798,0.763634254572649,0.828023836010339,-7.68644225580426,0.828023836010339
"NME6",-0.0297528291180189,10.2807935769317,-0.314707897745809,0.763711442786562,0.828054765738817,-7.68648080793792,0.828054765738817
"WFIKKN1",-0.0690530512109184,5.29497206420512,-0.314662013448518,0.763744598664986,0.828054765738817,-7.68649736350521,0.828054765738817
"FGF14-AS2",0.0616276264567057,4.97109787196864,0.314262278521933,0.764033469378577,0.828323591520717,-7.6866414935551,0.828323591520717
"NDUFV2-AS1",0.054901358348709,6.0418990732339,0.314015232968099,0.764212019097873,0.828472790882119,-7.68673048069156,0.828472790882119
"ENSG00000266642",0.155551169316956,5.99288422288789,0.313843444249674,0.764336187067887,0.828563022838534,-7.6867923200056,0.828563022838534
"MAZ",0.0625366276847927,12.1829207983101,0.313412126764528,0.764647974935913,0.828856619754609,-7.6869474384017,0.828856619754609
"ENSG00000284309",0.0612758836970508,4.89166723165477,0.313193303501971,0.764806174936763,0.828983709269306,-7.68702605676517,0.828983709269306
"ENSG00000246477",0.0603960650558335,5.14328931029499,0.312708419818578,0.765156769787318,0.829274907756752,-7.68720007545704,0.829274907756752
"ENSG00000285340",0.0603960650558335,5.14328931029499,0.312708419818578,0.765156769787318,0.829274907756752,-7.68720007545704,0.829274907756752
"AMTN",0.0320910907869703,5.13950713186234,0.312562341957285,0.765262403272407,0.829344986059688,-7.68725244983612,0.829344986059688
"PPP1R3B",-0.0391825125965877,8.70937779958136,-0.312195681404956,0.765527571430139,0.829587941606031,-7.68738380704277,0.829587941606031
"FOXO6",0.0836391160504073,6.83431398225481,0.312093509428494,0.765601468208858,0.829623605011804,-7.68742038386774,0.829623605011804
"ENSG00000249590",0.0726204330112052,6.45893313320302,0.311685984054601,0.765896241442291,0.829898598663458,-7.68756615971194,0.829898598663458
"ARID3A",-0.0503825734398919,8.1987911631859,-0.311456042453817,0.766062582909279,0.830019855720829,-7.6876483307341,0.830019855720829
"KCNQ1OT1",-0.0844602655468574,9.48436545736006,-0.311417922084851,0.766090160791291,0.830019855720829,-7.6876619476066,0.830019855720829
"ZNF823",0.0481518114721364,7.98513884998863,0.311359171004155,0.766132664536628,0.830021477433275,-7.68768293075993,0.830021477433275
"RPL23AP82",-0.0413517153764076,8.86254608074299,-0.310860323928748,0.766493593782402,0.830340296338132,-7.68786094132331,0.830340296338132
"NUP214",-0.0307763756149804,10.7445546563421,-0.310838660311751,0.766509269448688,0.830340296338132,-7.68786866559413,0.830340296338132
"ZNF22-AS1",-0.0317603806848092,7.90434501688494,-0.310782356349136,0.766550011233355,0.830340296338132,-7.68788873861597,0.830340296338132
"ENSG00000285218",0.191920290381627,5.24839771289812,0.31058816680139,0.766690533893411,0.830448070666053,-7.68795794245652,0.830448070666053
"DOHH",-0.126430040631901,8.2359920386617,-0.310513189487749,0.766744792826875,0.830462401092079,-7.68798465111416,0.830462401092079
"ENSG00000285641",-0.141784245055248,7.22050386478725,-0.310348630929738,0.766863884229297,0.830514123317227,-7.68804324880183,0.830514123317227
"ENSG00000289519",-0.0603122952276145,5.75886136666126,-0.310333811815469,0.7668746091991,0.830514123317227,-7.688048524267,0.830514123317227
"RNF227",-0.039438592035463,7.71872302145841,-0.309771914566509,0.7672813103266,0.830910117292853,-7.68824837444998,0.830910117292853
"ELK4",-0.0386699329047158,10.7928626876255,-0.309530095380749,0.767456364061152,0.831055224960506,-7.68833427442688,0.831055224960506
"ARAP3",-0.03096821185735,7.33691297674629,-0.309313085913717,0.767613470777696,0.831180883860876,-7.68841130609454,0.831180883860876
"H2AC17",-0.06357396358014,5.13834477849797,-0.309251697743025,0.767657915711039,0.831184544340813,-7.68843308750918,0.831184544340813
"ENSG00000272425",0.0481867872240729,6.01637170276358,0.309127723335801,0.767747675932146,0.831237267105781,-7.68847706266507,0.831237267105781
"ENSG00000287569",0.0953624023023423,4.9346691898683,0.308792756610229,0.76799021904257,0.831455392792076,-7.68859579384087,0.831455392792076
"ENSG00000288880",-0.051581810586744,6.44006717862256,-0.308684714803952,0.76806845623604,0.831465068344487,-7.68863406338596,0.831465068344487
"GID8",-0.0308434392168202,11.4109055663371,-0.308666961208522,0.768081312578688,0.831465068344487,-7.68864035065563,0.831465068344487
"NELFA",-0.0512918318243436,10.2911362057547,-0.308575561903992,0.768147501060516,0.831477525249836,-7.68867271332138,0.831477525249836
"ENSG00000260293",0.0525657287393146,6.13939607025607,0.308537620535677,0.768174977628177,0.831477525249836,-7.6886861448747,0.831477525249836
"RBM6",-0.0374401779725133,11.3622773943454,-0.308371706199475,0.768295134635213,0.831555088459712,-7.68874486110932,0.831555088459712
"FAM120AOS",-0.0280245375908468,10.4427468045429,-0.308325220774054,0.768328801164643,0.831555088459712,-7.6887613065778,0.831555088459712
"DSE",0.0281353276321656,10.2045908383486,0.308140622890107,0.768462499511985,0.831655320142334,-7.68882658933861,0.831655320142334
"TCTA",-0.0312985106713004,11.3817181695708,-0.308024995606018,0.768546249111502,0.831701487824311,-7.688867461463,0.831701487824311
"REXO4",-0.0351356190132179,10.0812411256676,-0.307693317252563,0.768786504937386,0.831917008630721,-7.68898462123676,0.831917008630721
"ATCAY",-0.053163484107805,5.0722576750948,-0.307610636014464,0.768846400631739,0.831937346048703,-7.68901380794852,0.831937346048703
"CXCL12",0.048371582100347,6.4918023203981,0.30722975818438,0.769122337614685,0.832191438266896,-7.68914816078006,0.832191438266896
"GABPB1-AS1",0.0647154200283584,9.01290781597827,0.306995509645351,0.769292063581974,0.832296517483439,-7.68923071074518,0.832296517483439
"THBS1-AS1",-0.118145085962191,4.89581672067082,-0.306982221642419,0.769301691892577,0.832296517483439,-7.68923539165338,0.832296517483439
"HGS",-0.0434578877697103,12.2038777322103,-0.306827007304084,0.769414161486175,0.832373706180741,-7.68929005380955,0.832373706180741
"ENSG00000270504",-0.0454227203208646,8.85692444166535,-0.306763911283563,0.769459883145218,0.8323786807088,-7.68931226680945,0.8323786807088
"HYDIN",-0.03186179424742,7.15645217853206,-0.30614102562267,0.769911303199896,0.832822503637724,-7.6895313166235,0.832822503637724
"ENSG00000287051",0.030119148044653,6.93306273056537,0.305864215849876,0.77011194560464,0.832984717297129,-7.68962852368343,0.832984717297129
"LSM12P1",-0.109004966965042,7.57694511733454,-0.30582058879882,0.770143569956943,0.832984717297129,-7.68964383638597,0.832984717297129
"ENSG00000273275",0.0655254616391741,8.03045422526972,0.305498801876685,0.770376841662195,0.833192500779294,-7.68975671531695,0.833192500779294
"UBA6",-0.0442656086273239,11.8965589192914,-0.30488485387362,0.770821981659157,0.833629393607769,-7.68997176131053,0.833629393607769
"ENSG00000287474",0.115626098025785,5.64691070194432,0.304719910736526,0.770941589210765,0.833714201379233,-7.69002946406671,0.833714201379233
"C7orf57",0.0937598913305546,4.94041509345061,0.304289075589912,0.771254039401483,0.834007533471814,-7.69018004217194,0.834007533471814
"TPGS2",0.0287880588232987,11.7133432314633,0.303665343385011,0.771706465814503,0.834452191599516,-7.69039767241938,0.834452191599516
"JAK3",-0.0442380873928059,7.83939100839625,-0.30359160869936,0.771759956053336,0.834465452482669,-7.69042337102973,0.834465452482669
"ZSCAN18",-0.0415539571642949,11.5271461026173,-0.303157698949256,0.772074760302332,0.834756937730044,-7.69057447820428,0.834756937730044
"CFAP206",0.075056091263928,5.22302849697772,0.303106347060462,0.772112019573237,0.834756937730044,-7.69059234740831,0.834756937730044
"ENSG00000223804",-0.0388218647466783,5.75239716848309,-0.30262075533084,0.772464382199619,0.835062641088701,-7.69076117637202,0.835062641088701
"PRIM2BP",-0.0766723536732963,5.45193885108634,-0.302602964205801,0.772477293204132,0.835062641088701,-7.69076735694847,0.835062641088701
"THUMPD3",0.0297272533250243,10.8276651373249,0.302497730139638,0.772553663112468,0.835100597866994,-7.69080390769993,0.835100597866994
"SMG1P6",-0.0554564758949887,5.77733079915565,-0.30206172509371,0.772870108164743,0.835398048668299,-7.69095521316285,0.835398048668299
"ENSG00000270956",-0.0366425754411397,5.49257022792087,-0.301883779871133,0.772999271561743,0.835493045104995,-7.69101690411938,0.835493045104995
"ENSG00000267484",0.0738923938389124,5.96802590688061,0.301617325942222,0.773192694848711,0.835657482722809,-7.6911092138033,0.835657482722809
"CA5BP1",0.0381687250578544,8.66196875718309,0.301456310524992,0.773309587255366,0.835739193530668,-7.69116495729195,0.835739193530668
"RPL14P1",-0.0731678059867491,5.5076176247576,-0.300999415628239,0.77364131489503,0.836053062188484,-7.69132297697069,0.836053062188484
"WASH3P",-0.0331003846906377,8.8596964580736,-0.300856059112965,0.773745409430806,0.836120913581173,-7.69137250971422,0.836120913581173
